rnum,crpstDsgnRegistId,cropsSpchcknCode,exprYear,exprAreaCode,spciesCode,examForm,pajong,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examinTmrd,srchExaminTmrd,exprSpchcknCode,areaNm,sortSn,totCnt,areaNm_full,spciesNm
1,00122017001870,001,2017,0352,R32006,1,2017-05-10,717,92.2,29.2,597,83.2,24.2,549,9,9,002,나주,3,76,나주(전라남도 농업기술원),일미벼
2,00122017001869,001,2017,0352,R32011,1,2017-05-10,714,88.1,27.4,594,83.1,22.7,546,9,9,002,나주,3,76,나주(전라남도 농업기술원),남평벼
3,00122017001866,001,2017,0352,R32081,1,2017-05-10,724,89.9,27.4,605,83.6,22.9,557,9,9,002,나주,3,76,나주(전라남도 농업기술원),미품
4,00122017001867,001,2017,0352,R32084,1,2017-05-10,770,86,31.2,639,83.1,25.9,588,9,9,002,나주,3,76,나주(전라남도 농업기술원),새누리
5,00122017001868,001,2017,0352,R32090,1,2017-05-10,714,90.6,27.8,596,83.5,23.2,549,9,9,002,나주,3,76,나주(전라남도 농업기술원),호평
6,00122017001865,001,2017,0352,R32092,1,2017-05-10,773,89.7,29.5,645,83.5,24.6,594,9,9,002,나주,3,76,나주(전라남도 농업기술원),현품
7,00122017001875,001,2017,0340,R22009,1,2017-04-30,844,91.6,27.2,704,83.5,23.9,648,9,9,002,대구,4,76,대구(경상북도 농업기술원),화영벼
8,00122017001873,001,2017,0340,R22083,1,2017-04-30,829,95.2,25.9,686,82.8,22.4,631,9,9,002,대구,4,76,대구(경상북도 농업기술원),삼덕
9,00122017001874,001,2017,0340,R32001,1,2017-04-30,795,92.6,26.8,659,82.9,23.8,606,9,9,002,대구,4,76,대구(경상북도 농업기술원),일품벼
10,00122017001872,001,2017,0340,R32015,1,2017-04-30,794,96.3,26.1,623,83.5,22.4,610,9,9,002,대구,4,76,대구(경상북도 농업기술원),새추청
11,00122017001871,001,2017,0340,R32093,1,2017-04-30,852,95.9,25.9,710,83.3,22.8,653,9,9,002,대구,4,76,대구(경상북도 농업기술원),새일미
12,00122017001885,001,2017,0335,R22009,1,2017-05-10,656,93.4,28.7,541,82.6,24,498,9,9,002,진주,6,76,진주(경상남도 농업기술원),화영벼
13,00122017001883,001,2017,0335,R32008,1,2017-05-10,681,94.2,29.7,541,82.5,24.4,516,9,9,002,진주,6,76,진주(경상남도 농업기술원),동안벼
14,00122017001881,001,2017,0335,R32068,1,2017-05-10,702,89.1,29.8,572,81.4,25.2,526,9,9,002,진주,6,76,진주(경상남도 농업기술원),동진1호
15,00122017001882,001,2017,0335,R32069,1,2017-05-10,664,93.5,29.3,550,82.6,24.5,506,9,9,002,진주,6,76,진주(경상남도 농업기술원),주남
16,00122017001884,001,2017,0335,R32093,1,2017-05-10,710,95.6,27.4,586,82.7,22.5,539,9,9,002,진주,6,76,진주(경상남도 농업기술원),새일미
17,00122017001822,001,2017,0343,R11073,1,2017-04-30,839,87.1,26.3,705,84.1,22.5,649,9,9,002,계화,8,76,계화(국립식량과학원),새계화
18,00122017001818,001,2017,0331,R12004,1,2017-04-20,733,95.6,26.7,608,83,23.8,560,9,9,002,철원,8,76,철원(국립식량과학원),진부벼
19,00122017001825,001,2017,0330,R12004,1,2017-04-20,764,95.2,30.5,629,82.3,25.2,578,9,9,002,운봉,8,76,운봉(국립식량과학원),진부벼
20,00122017001888,001,2017,0336,R12004,1,2017-04-20,768,97.7,26.3,647,84.2,21.7,595,9,9,002,진부,8,76,진부(국립식량과학원),진부벼
21,00122017001837,001,2017,0329,R12005,1,2017-04-25,823,82.1,24.8,684,83.1,21,593,9,9,002,상주,8,76,상주(국립식량과학원),상주벼
22,00122017001848,001,2017,0337,R12005,1,2017-04-20,599,77.8,23.1,507,83.7,20.5,466,9,9,002,제천,8,76,제천(충청북도 농업기술원),상주벼
23,00122017001849,001,2017,0337,R12016,1,2017-04-20,608,91.2,26.4,509,84.1,23.6,468,9,9,002,제천,8,76,제천(충청북도 농업기술원),상미
24,00122017001824,001,2017,0330,R12019,1,2017-04-20,796,84.4,28.3,641,80.5,23.1,590,9,9,002,운봉,8,76,운봉(국립식량과학원),삼천벼
25,00122017001817,001,2017,0331,R12072,1,2017-04-20,760,89.6,24.7,623,81.9,21,573,9,9,002,철원,8,76,철원(국립식량과학원),태봉
26,00122017001816,001,2017,0331,R12079,1,2017-04-20,852,83.2,27.3,687,80.7,24.1,632,9,9,002,철원,8,76,철원(국립식량과학원),운광
27,00122017001823,001,2017,0330,R12079,1,2017-04-20,906,83.8,28.6,742,81.9,24,682,9,9,002,운봉,8,76,운봉(국립식량과학원),운광
28,00122017001836,001,2017,0329,R12079,1,2017-04-25,923,81.3,27.5,757,82,23.3,661,9,9,002,상주,8,76,상주(국립식량과학원),운광
29,00122017001841,001,2017,0333,R12079,1,2017-04-25,730,80.5,28.5,600,82.2,23.7,552,9,9,002,춘천,8,76,춘천(강원특별자치도 농업기술원),운광
30,00122017001844,001,2017,0344,R12079,1,2017-04-20,824,85.4,27,683,82.9,23,628,9,9,002,강릉,8,76,강릉(강원특별자치도 농업기술원),운광
31,00122017001847,001,2017,0337,R12079,1,2017-04-20,694,77.6,28.9,588,84.2,23.3,541,9,9,002,제천,8,76,제천(충청북도 농업기술원),운광
32,00122017001879,001,2017,0351,R12079,1,2017-04-20,816,95.7,26.8,673,82.6,21.6,620,9,9,002,안동,8,76,안동(경상북도 농업기술원),운광
33,00122017001815,001,2017,0331,R12080,1,2017-04-20,713,91.2,24.6,588,82.5,21.3,541,9,9,002,철원,8,76,철원(국립식량과학원),조운
34,00122017001835,001,2017,0329,R12085,1,2017-04-25,860,89.1,25.7,711,82.7,21.7,618,9,9,002,상주,8,76,상주(국립식량과학원),설레미
35,00122017001843,001,2017,0344,R12086,1,2017-04-20,762,90.5,27.5,630,82.7,22.8,579,9,9,002,강릉,8,76,강릉(강원특별자치도 농업기술원),오대1호
36,00122017001886,001,2017,0336,R12092,1,2017-04-20,835,96.5,26.7,708,84.8,22,651,9,9,002,진부,8,76,진부(국립식량과학원),한설
37,00122017001845,001,2017,0344,R12093,1,2017-04-20,713,84.1,25,592,83.1,21.3,545,9,9,002,강릉,8,76,강릉(강원특별자치도 농업기술원),오륜
38,00122017001814,001,2017,0331,R13002,1,2017-04-20,719,90.9,29.3,587,81.6,25.9,540,9,9,002,철원,8,76,철원(국립식량과학원),오대벼
39,00122017001826,001,2017,0330,R13002,1,2017-04-20,786,89,31.9,638,81.2,26.3,587,9,9,002,운봉,8,76,운봉(국립식량과학원),오대벼
40,00122017001830,001,2017,0332,R13002,1,2017-04-20,568,76.5,29.6,477,84,25.4,438,9,9,002,화성,8,76,화성(경기도 경기도농업기술원),오대벼
41,00122017001838,001,2017,0329,R13002,1,2017-04-25,813,85.3,30.1,662,81.5,26,574,9,9,002,상주,8,76,상주(국립식량과학원),오대벼
42,00122017001842,001,2017,0333,R13002,1,2017-04-25,642,79.2,32,522,81.3,26,481,9,9,002,춘천,8,76,춘천(강원특별자치도 농업기술원),오대벼
43,00122017001846,001,2017,0344,R13002,1,2017-04-20,709,83,30,582,82.1,25.7,535,9,9,002,강릉,8,76,강릉(강원특별자치도 농업기술원),오대벼
44,00122017001850,001,2017,0337,R13002,1,2017-04-20,644,86.5,29.7,538,84.2,25.9,495,9,9,002,제천,8,76,제천(충청북도 농업기술원),오대벼
45,00122017001880,001,2017,0351,R13002,1,2017-04-20,919,86.6,31.1,744,80.9,25.2,684,9,9,002,안동,8,76,안동(경상북도 농업기술원),오대벼
46,00122017001889,001,2017,0336,R13002,1,2017-04-20,721,97.6,26,603,83.7,22,556,9,9,002,진부,8,76,진부(국립식량과학원),오대벼
47,00122017001887,001,2017,0336,R13003,1,2017-04-20,832,94.2,26.7,704,84.6,21.7,648,9,9,002,진부,8,76,진부(국립식량과학원),진부올벼
48,00122017001833,001,2017,0338,R22009,1,2017-04-20,797,93.3,28.5,664,83.3,23.2,611,9,9,002,영덕,8,76,영덕(국립식량과학원),화영벼
49,00122017001832,001,2017,0338,R22083,1,2017-04-20,847,88.5,26.3,702,82.9,21.4,646,9,9,002,영덕,8,76,영덕(국립식량과학원),삼덕
50,00122017001834,001,2017,0338,R23004,1,2017-04-20,780,87.6,27.3,648,83,21.9,596,9,9,002,영덕,8,76,영덕(국립식량과학원),화성벼
51,00122017001839,001,2017,0333,R32001,1,2017-04-25,697,82.5,27.5,573,82.3,22.7,528,9,9,002,춘천,8,76,춘천(강원특별자치도 농업기술원),일품벼
52,00122017001852,001,2017,2325,R32001,1,2017-04-25,724,96,24.9,589,81.4,22.7,542,9,9,002,청원,8,76,청원(충청북도 농업기술원),일품벼
53,00122017001877,001,2017,0351,R32001,1,2017-04-20,890,95.7,27.4,736,82.7,22.8,678,9,9,002,안동,8,76,안동(경상북도 농업기술원),일품벼
54,00122017001829,001,2017,0332,R32003,1,2017-04-20,704,82.1,29.9,597,84.8,25.3,549,9,9,002,화성,8,76,화성(경기도 경기도농업기술원),대안벼
55,00122017001840,001,2017,0333,R32003,1,2017-04-25,720,87.3,31,598,83,26.3,550,9,9,002,춘천,8,76,춘천(강원특별자치도 농업기술원),대안벼
56,00122017001853,001,2017,2325,R32003,1,2017-04-25,678,93.2,29.2,555,81.9,24.5,511,9,9,002,청원,8,76,청원(충청북도 농업기술원),대안벼
57,00122017001864,001,2017,0326,R32006,1,2017-04-30,706,93.6,27.4,579,82,22.3,533,9,9,002,익산,8,76,익산(전북특별자치도 농업기술원),일미벼
58,00122017001820,001,2017,0343,R32011,1,2017-04-30,803,87.8,24.9,673,83.7,22.3,619,9,9,002,계화,8,76,계화(국립식량과학원),남평벼
59,00122017001831,001,2017,0338,R32011,1,2017-04-20,762,95.9,25.4,629,82.5,20.7,579,9,9,002,영덕,8,76,영덕(국립식량과학원),남평벼
60,00122017001856,001,2017,0350,R32011,1,2017-04-25,798,87.4,27.6,662,82.9,22.6,609,9,9,002,예산,8,76,예산(충청남도 농업기술원),남평벼
61,00122017001862,001,2017,0326,R32011,1,2017-04-30,708,91.3,25.6,573,80.9,20.9,527,9,9,002,익산,8,76,익산(전북특별자치도 농업기술원),남평벼
62,00122017001878,001,2017,0351,R32015,1,2017-04-20,959,92.6,27.9,789,82.3,22.1,726,9,9,002,안동,8,76,안동(경상북도 농업기술원),새추청
63,00122017001863,001,2017,0326,R32016,1,2017-04-30,718,90.5,32.7,594,82.7,27.1,546,9,9,002,익산,8,76,익산(전북특별자치도 농업기술원),신동진
64,00122017001819,001,2017,0343,R32068,1,2017-04-30,845,82.6,26.1,712,84.2,23.6,655,9,9,002,계화,8,76,계화(국립식량과학원),동진1호
